user_pseudo_id,subscribe_timestamp,subscribe_day_in_first_seven_days,session_id,event_name,event_timestamp,session_number
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,collect_gem,2024-10-11 01:42:06 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,coin_get,2024-10-09 15:00:55 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,level_up,2024-10-13 08:51:20 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,chest_open,2024-10-12 13:23:04 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,time_travel,2024-10-10 05:52:16 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,chest_open,2024-10-13 11:48:10 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,level_up,2024-10-13 21:57:35 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,chest_open,2024-10-13 10:57:02 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,level_up,2024-10-12 22:46:19 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,chest_open,2024-10-08 09:03:59 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,collect_gem,2024-10-12 18:32:07 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,collect_gem,2024-10-13 20:10:16 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,chest_open,2024-10-10 17:09:40 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,level_up,2024-10-12 14:01:00 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,chest_open,2024-10-10 12:25:58 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,chest_open,2024-10-09 10:33:00 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,npc_talk,2024-10-08 00:09:25 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,chest_open,2024-10-14 03:18:48 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,level_up,2024-10-13 23:02:36 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,kill_monster,2024-10-13 18:17:00 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,level_up,2024-10-07 17:44:58 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,kill_monster,2024-10-07 14:21:32 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,level_up,2024-10-12 18:32:14 UTC,0
user_001,2024-10-10 16:06:54 UTC,True,session_001_000,level_up,2024-10-14 05:57:36 UTC,0
